TICKER,NAME,RETURN,RISK,MKTCAP,TURNOVER_RATIO,AMIHUD_ILLIQUIDITY,VOLUME
BITB,BitBean,0.01702952,0.186647798,4886138.047,0.037041684,0.000459408,335250.6281
KURT,Kurrent,0.016825124,0.271598822,85899.39394,0.070236145,0.003284196,2695.498623
MONA,MonaCoin,0.016823357,0.114325826,92334992.73,0.015673446,8.86E-06,3634858.815
PTC,Pesetacoin,0.016366716,0.119114343,2463983.375,0.028610932,0.0002988,91364.6584
BLOCK,Blocknet,0.016305823,0.127800882,47100826.58,0.005211384,0.000145761,204103.3802
UNB,UnbreakableCoin,0.016269966,0.196166942,508357.6713,0.390591215,0.000659604,575903.2348
PKB,ParkByte,0.016080162,0.20635085,1384141.345,0.12970162,0.006493214,267420.558
XRP,Ripple,0.016079401,0.112474005,7177312375,0.023949356,4.28E-09,252077133.5
CRW,Crown,0.015967877,0.137341328,14010805.69,0.007484205,4.36E-05,103270.8485
NEOS,NeosCoin,0.015781026,0.123479351,8339505.57,0.058857907,5.29E-06,389259.135
UIS,Unitus,0.015683368,0.192991585,550604,0.055646941,0.000471813,35429.17906
XEM,NEM,0.015603854,0.103015591,1556506612,0.007418723,6.19E-08,13474222.22
ARI,Aricoin,0.0155439,0.261726183,71863.66857,0.005819311,0.025116929,579.5485714
DOPE,DopeCoin,0.015473316,0.157992833,2155243.669,0.060493212,0.000197689,237741.8595
ABY,ArtByte,0.015419885,0.141528001,3675588.556,0.030416331,7.39E-05,171349.3223
DGB,DigiByte,0.015394601,0.134132987,103813969.3,0.086088832,5.25E-07,11954969.01
XZC,ZCoin,0.015221839,0.116038389,41322164.39,0.068447802,6.33E-07,2880558.854
XST,Stealthcoin,0.015213606,0.163663331,3503360.562,0.026416811,8.09E-05,131299.832
XDN,DigitalNote,0.015177521,0.143743224,14524468.86,0.121001533,4.83E-06,2286733.193
HAL,Halcyon,0.015140074,0.168001467,77538.77372,0.001012533,0.01565876,66.72627737
PXC,Phoenixcoin,0.015005828,0.184239385,246979.5701,0.003272388,0.006747736,998.9096573
SXC,Sexcoin,0.014899175,0.140542566,1647507.981,0.009060922,0.000109188,13018.14325
ZCL,ZClassic,0.01484774,0.155531773,4030007.441,0.07214215,2.10E-06,975687.157
DCR,Decred,0.014732838,0.107499904,143772704.8,0.016956633,3.75E-07,1786197.76
BSD,BitSend,0.014722543,0.161528756,5654704.466,0.027857706,3.97E-05,167012.3306
STRAT,Stratis,0.014719343,0.1051198,365980136.9,0.029180698,1.43E-07,12543950.17
VTC,Vertcoin,0.014666351,0.120990772,58964144.99,0.081175219,1.16E-06,5297538.727
BAY,BitBay,0.01466586,0.133790403,27298092.76,0.019388808,2.79E-06,1466763.628
SLS,SaluS,0.01445441,0.16640264,10901701.37,0.011988274,0.00020313,367220.1708
KRB,Karbo,0.0143501,0.102643351,1127065.416,0.055218368,9.85E-05,29674.99449
POP,PopularCoin,0.014261053,0.233312627,56201.84848,0.002459254,0.024733941,605.9889807
ARDR,Ardor,0.014107461,0.095192672,177553146.5,0.013708712,2.51E-07,3203381.992
VRM,VeriumReserve,0.014076891,0.138927926,1928693.331,0.037423185,8.22E-05,96459.93388
LSK,Lisk,0.013938373,0.093384332,386175886,0.029553609,7.70E-08,14815892.9
CLOAK,CloakCoin,0.013850686,0.180699815,20594857.1,0.013331207,1.36E-05,410592.4821
BTS,BitShares,0.013723879,0.107448011,265515753.1,0.076073627,6.90E-08,28489713.09
TRUST,TrustPlus,0.013665973,0.144648748,1747717.419,0.043013044,0.000159317,115901.9725
MOJO,MojoCoin,0.013642402,0.268807202,139994.2176,0.025351555,0.001174183,3535.559229
PR,Prototanium,0.013628593,0.256755227,111681.5234,0.006706878,0.019714499,470.0385675
ESP,Espers,0.013548635,0.256125267,2809087.967,0.004701388,0.001539682,20855.37741
SC,Siacoin,0.013474688,0.109276191,165094986.3,0.043735506,1.32E-07,10073953.31
ARC,Arcade Token,0.01346227,0.226691397,1332980.537,0.042504141,0.000182927,26816.11019
ARC,ArcticCoin,0.01346227,0.226691397,1332980.537,0.042504141,0.000182927,26816.11019
XLM,Stellar,0.013426051,0.119070388,471793700,0.060412019,6.57E-08,28475140.98
VIA,Viacoin,0.013379163,0.109967992,20081105.78,0.034985702,2.47E-06,770991.8375
BCN,Bytecoin,0.013362079,0.160153854,236184010.4,0.010467699,6.32E-06,2673278.843
SEQ,Sequence,0.013274572,0.117793623,3888223.49,0.009566379,4.13E-05,51102.53444
PINK,PinkCoin,0.013229344,0.128724554,5003747.95,0.114080793,6.16E-06,387057.5758
BLITZ,Blitzcash,0.013149525,0.146000103,3448390.716,0.025380574,0.000147056,138411.9945
NXS,Nexus,0.013133367,0.100741776,53908755.26,0.007682061,1.17E-06,549019.8815
ENT,Eternity,0.012953046,0.25309417,320744.6364,0.015963314,0.002761308,2528.46832
