Date,Bitcoin,Tether,Litecoin,Ardor,Ethereum,Lisk,Monero,Dash,Stratis,Waves,Bytecoin,BitShares,NEO,Zcash,NEM,Stellar,Ripple,Equities,Commodities,Gold,REIT
26/07/2017,2.533681248,0.996955,9.363636364,10.98604011,24.96328029,13.04518559,3.27845383,17.30810329,69.91074636,12.380152,21.96551724,33.40133366,50.54955901,3.92160099,45.48343023,7.609028617,27.29616834,1.097438691,0.929961089,0.94394168,1.034670461
27/07/2017,2.676249336,0.997275,9.34368071,11.27418403,25.00856793,13.04518559,3.238367931,17.28317008,68.66727459,12.42533503,22.46551724,34.40800198,54.42714025,3.83536208,49.55668605,7.384925433,27.2388505,1.096371295,0.935149157,0.964670185,1.035779139
28/07/2017,2.813708894,1,9.00443459,10.64038537,23.6376989,12.24650076,3.146743021,16.52804987,63.69338749,13.55491094,22.86206897,32.75030872,49.9855472,3.673406231,48.19011628,6.836356308,26.05794598,1.094900856,0.941634241,0.960683885,1.033192376
29/07/2017,2.731010788,0.996619,9.11751663,10.59880063,25.18849449,12.44617197,3.141732283,16.49599288,72.12136285,12.96753147,21.03448276,32.98394665,51.18407231,3.905302249,49.47587209,7.032245062,26.67572236,1.094900856,0.941634241,0.960683885,1.033192376
30/07/2017,2.761792193,0.998868,8.962305987,10.45123869,24.23255814,11.91371542,2.836077309,15.38913624,67.00931222,12.28978592,21.39655172,31.07458632,50.40855606,3.619145863,46.65697674,6.442563482,25.9236809,1.094900856,0.941634241,0.960683885,1.033192376
31/07/2017,2.88014985,1,9.538802661,10.65110106,24.95348837,12.84551439,2.85182534,15.89581478,69.08176518,12.56088414,20.94827586,30.64682638,51.67758265,3.63771405,47.98488372,6.487303507,26.28548995,1.09410363,0.947470817,0.967859162,1.033931457
1/08/2017,2.722807088,0.996819,9.543237251,13.08955958,27.75642595,13.64419922,3.160343593,16.45146928,81.79280997,13.60009398,22.51724138,32.19165226,55.41416093,3.96822777,52.63197674,7.228133817,27.80354899,1.096783194,0.934500649,0.966264594,1.038735346
2/08/2017,2.715204391,1,9.341463415,14.67351553,26.92166463,13.77731336,3.123120974,16.28940338,76.95708641,15.8592458,21.0862069,33.54630773,57.17669785,3.902207551,63.87180233,7.421604192,27.1848304,1.097323536,0.940985733,0.971845302,1.029866726
3/08/2017,2.809421734,0.969304,9.503325942,14.22915847,27.58139535,13.84387043,3.103793844,16.650935,83.45077233,17.35028601,20.13793103,34.99456656,75.22507597,3.854755519,65.95639535,7.601773478,27.42022613,1.09492743,0.931906615,0.971048138,1.027279924
4/08/2017,2.900734226,1,9.634146341,13.90749115,27.30354957,13.84387043,3.229778096,16.64915405,91.32609356,16.58217439,22.36206897,37.86342307,73.53304052,3.853105013,65.18604651,8.964530431,27.28376256,1.096995788,0.936446174,0.971048138,1.030975173
